0, 24, 8, 12409, 12.51, 76.64, 3058, 2362.32, 3.27496
0, 24, 1000, 0, -nan, 0, 3058, 2369.73, 2.61761
0, 24, 8, 12409, 12.51, 76.64, 3058, 2362.31, 3.27496
0, 24, 0, 52, 52.9668, 145.728, 3058, 3058, 1000
0, 24, 0, 326, 326.991, 23.6054, 3058, 3058, 1000
0, 24, 0, 3997, 3997.49, 1.9309, 6044, 6044, 1000
0, 24, 0, 3997, 3997.49, 1.9309, 6044, 6044, 1000
0, 24, 1000, 0, -nan, 0, 5033, 2982.66, 10.177
0, 24, 1000, 0, -nan, 0, 5033, 2982.66, 10.177
0, 24, 0, 17522, 17.5229, 77.2507, 5033, 2998.94, 11.1984
0, 24, 33, 73853, 76.3739, 74.6801, 6044, 3068.34, 77.0368
